stationname,avglat,avglong,avgdepth,sname
405,81.0828,28.8336,354.2,405
406,81.0830,28.5453,242.4,406
407,81.0832,28.1994,118.2,407
408,81.0832,27.8540,80.4,408
409,81.4155,23.9886,303.0,409
41,78.0755,13.4717,354.0,41
410,81.5160,23.9983,716.8,410
411,81.5907,24.0000,1212.2,411
412,81.5365,24.0409,804.4,412
413,81.4615,24.0703,496.4,413
414,81.3909,24.0894,199.5,414
415,81.3828,22.2485,502.6,415
416,81.4858,21.9259,860.0,416
417,81.0339,18.4191,227.1,417
418,80.6219,6.8680,735.0,418
42,78.0320,13.1225,239.0,42
43,77.9975,12.7152,222.0,43
44,77.9680,12.1367,208.0,44
45,77.9610,11.6477,195.0,45
46,77.9707,11.2358,182.0,46
47,77.9872,10.7680,173.0,47
48,77.9990,10.2687,185.0,48
49,78.0001,9.8741,174.0,49
5,78.6172,16.4813,144.0,5
50,77.9991,9.7272,171.0,50
51,77.9999,9.6202,206.0,51
52,78.0080,9.5270,341.0,52
6,78.6113,16.5197,153.0,6
804,79.8170,10.4290,113.0,804
812,79.9578,9.4314,471.0,812
814,80.0641,8.6145,498.0,814
99,80.7004,28.8032,499.4,99
A1,78.5327,21.0964,129.5,A1
A10,78.6693,18.5361,745.5,A10
A11,78.8069,15.9856,898.8,A11
A12,79.2982,6.5999,1384.3,A12
A2,78.5518,20.4761,142.5,A2
A3,78.5653,20.0625,188.0,A3
A4,78.5797,19.8327,255.0,A4
A5,78.5954,19.6291,322.5,A5
A6,78.6088,19.4630,357.2,A6
A7,78.6233,19.2807,430.5,A7
A8,78.6376,19.0592,507.0,A8
A9,78.6535,18.8011,636.0,A9
ADCPstart_38kHz,,,,ADCPstart_38kHz
ADCPstart_75kHz,,,,ADCPstart_75kHz
AEN-SVP-1,81.6000,18.5000,2780.0,AEN-SVP-1
AEN-SVP-3,81.9400,20.8860,,AEN-SVP-3
AT200-4,81.4098,31.2418,206.0,AT200-4
B1,77.5912,29.9916,210.1,B1
B10,77.7826,26.5646,438.1,B10
B11,77.8989,26.1814,463.3,B11
B12,77.1048,29.6978,282.3,B12
B13,78.1510,24.9809,681.7,B13
B14,78.4858,23.3159,957.8,B14
B15,81.0842,12.0050,2105.0,B15
B16,81.2003,11.9990,2122.0,B16
B2,77.7360,27.4974,201.9,B2
B3,77.7882,27.0499,203.4,B3
B4,77.4500,29.6920,195.1,B4
B5,77.3747,30.0275,197.1,B5
B6,77.3252,30.0652,183.0,B6
B7,77.7301,27.4347,276.1,B7
B8,79.2232,18.9687,451.1,B8
B9,78.0409,25.1368,402.7,B9
Betw M5 and P2 (NLEG04),77.3252,34.4502,158.5,Betw M5 and P2 (NLEG04)
Betw P1 (NLEG01) and NLEG02,76.2095,31.2316,315.8,Betw P1 (NLEG01) and NLEG02
C,75.4300,31.0995,353.0,C
C1,79.4550,20.5034,85.4,C1
